,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,96.5133,60.6015,53.6423,48.0940,73.7891,38.6040,57.6736,48.3479,51.8535
2880-3360,89.1355,60.7756,61.5452,46.6043,95.5456,48.2259,58.5019,39.5149,50.5602
3360-3840,90.5150,61.7501,89.4929,55.5651,63.8472,44.2802,56.8461,35.6327,52.8544
3840-4320,107.6096,56.8996,69.8368,56.3793,70.7974,39.0240,27.0092,37.8703,52.9187
4320-4800,119.9958,60.7504,76.5857,49.8502,82.6559,53.1327,37.2364,45.3161,57.7108
4800-5280,110.8749,60.2972,61.6589,41.9853,35.7618,44.3773,53.2547,47.4580,50.9621
5280-5760,95.0428,63.4128,51.5191,43.6800,65.2324,45.4727,75.3202,47.2258,52.2385
5760-6240,102.6854,70.1780,50.0882,54.6909,61.3999,40.5700,66.7445,34.7668,52.1539
6240-6720,123.2294,75.1366,44.7023,66.7135,74.1263,31.9837,59.7426,33.9671,56.1533
6720-7200,127.6796,71.5951,40.6462,57.8156,67.5127,38.0957,69.9600,44.1619,56.0052
7200-7680,117.0718,73.3812,27.5280,50.1795,58.6490,39.8275,79.4566,58.8044,59.4603
7680-8160,100.8067,65.3735,45.3542,72.0042,71.7237,43.4930,87.4305,69.4934,66.4455
8160-8640,116.0012,82.6745,56.4000,80.9321,64.3656,38.8217,71.4495,73.0863,71.0311
8640-9120,271.1587,101.0855,66.7056,61.6534,42.1039,44.1090,50.6532,91.2185,79.5089
9120-9600,389.8268,142.7275,76.8399,64.9888,45.8325,43.7108,52.7479,59.5570,79.3854
