step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,30,55,26,49,22,63,49,26,160
2,30,55,26,49,22,63,49,26,160
3,30,55,26,49,22,63,49,26,160
4,30,55,26,49,22,63,49,26,160
5,30,55,26,49,22,63,49,26,160
6,30,55,26,49,22,63,49,26,160
7,30,55,26,49,22,63,49,26,160
8,30,55,26,49,22,63,49,26,160
9,30,55,26,49,22,63,49,26,160
10,30,55,26,49,22,63,49,26,160
11,30,55,26,49,22,63,49,26,160
12,30,55,26,49,22,63,49,26,160
13,30,55,26,49,22,63,49,26,160
14,30,55,26,49,22,63,49,26,160
