,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,27,53,16,143,16,92,16,110,473
2880-3360,13,58,15,140,9,80,16,96,427
3360-3840,21,59,14,142,18,88,19,97,458
3840-4320,22,52,22,166,18,85,8,79,452
4320-4800,27,54,18,136,18,82,7,111,453
4800-5280,26,69,27,132,9,86,11,111,471
5280-5760,20,69,16,133,16,76,14,100,444
5760-6240,26,72,11,151,16,99,13,117,505
6240-6720,41,77,25,190,31,109,24,168,665
6720-7200,33,85,28,211,26,133,11,151,678
7200-7680,47,87,20,193,32,111,25,176,691
7680-8160,37,91,32,201,34,119,21,199,734
8160-8640,39,104,30,165,38,143,31,227,777
8640-9120,28,117,31,201,34,135,28,245,819
9120-9600,24,114,25,200,29,153,30,233,808
