,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,29.1209,29.1147,39.6603,39.6906,30.6908,30.5374,38.1680,38.4702,34.4316
2880-3360,25.1895,25.3145,36.4190,36.4494,28.4115,28.8957,33.1154,33.4237,30.9023
3360-3840,29.8631,29.9593,40.4655,40.9373,29.6947,29.8369,30.3842,30.6954,32.7295
3840-4320,27.8763,28.5624,47.5743,47.6046,31.3892,31.2981,22.4581,23.2046,32.4960
4320-4800,39.1379,39.2009,39.0203,40.7713,31.9541,31.7505,32.9475,33.2507,36.0041
4800-5280,30.4876,30.5034,43.3864,43.4168,24.1614,25.0710,29.5567,30.7375,32.1651
5280-5760,32.8183,33.4799,34.8583,34.9814,25.7274,25.5811,36.8169,37.1541,32.6772
5760-6240,41.3233,41.9750,38.1762,38.2054,32.4321,32.1779,39.2776,39.6368,37.9005
6240-6720,54.3323,54.1724,65.6306,65.6610,42.8011,42.5506,52.6845,52.9146,53.8434
6720-7200,40.6480,40.5230,67.3736,67.4040,43.6353,43.6516,45.0347,45.3867,49.2071
7200-7680,86.7073,87.0953,53.7513,53.7816,43.5884,43.3358,66.5105,66.7406,62.6889
7680-8160,43.3633,43.3929,64.5929,64.6232,47.8362,47.7250,86.2629,86.4930,60.5362
8160-8640,69.8600,69.8074,83.0360,83.0663,53.4523,53.5257,102.9475,103.1776,77.3591
8640-9120,172.8010,172.6563,131.5831,131.6135,82.7654,82.5112,124.3849,124.6151,127.8663
9120-9600,284.2223,284.0777,142.5479,142.5783,148.3680,148.1138,164.3336,164.5637,184.8507
