,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,168.1245,129.9179,106.8026,102.4943,117.5876,85.2569,110.5045,104.4144,115.6378
2880-3360,163.7683,129.4515,117.6530,98.1850,143.0783,89.0465,115.5865,97.0142,119.2229
3360-3840,181.5246,124.7810,148.6096,100.7057,110.0778,89.3321,113.7954,93.3545,120.2726
3840-4320,166.8881,126.1182,126.6055,103.7630,117.9109,79.5113,85.1948,95.4228,112.6768
4320-4800,191.0503,127.1126,124.4053,102.2665,128.3871,90.8001,97.9319,101.8771,120.4789
4800-5280,180.0704,127.8258,113.7951,97.2087,84.1144,84.1679,112.9654,99.0557,112.4004
5280-5760,158.2980,125.7549,122.0683,98.9916,121.2449,81.9203,137.9200,99.1195,118.1647
5760-6240,199.5863,122.8287,86.0656,101.9269,107.3736,87.4428,127.3148,93.5981,115.7671
6240-6720,178.3674,126.6212,170.6545,109.0231,119.8950,83.1484,122.8735,97.6773,126.0325
6720-7200,166.5971,130.9827,143.9987,113.9165,113.2062,87.1492,118.9614,98.6455,121.6822
7200-7680,219.3709,122.7015,111.5600,108.3608,118.4195,87.8304,130.7904,110.8093,126.2304
7680-8160,176.1650,129.7128,125.2894,106.2061,118.8011,85.6312,139.8391,118.9168,125.0702
8160-8640,181.7363,129.7193,176.9462,109.9729,124.9408,84.9104,133.4467,119.7171,132.6737
8640-9120,312.4495,154.2174,246.1215,121.7560,153.8828,79.1387,189.8047,125.2290,172.8250
9120-9600,556.5339,182.3373,320.1149,129.0474,322.5797,75.4946,321.9048,106.3356,251.7935
