,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,168.1245,129.9179,106.8026,102.4943,117.5876,85.2569,110.5045,104.4144,115.6378
2880-3360,153.3068,129.9168,125.0619,106.4547,141.0783,84.7443,114.2587,90.9262,118.2185
3360-3840,177.4148,137.6392,140.0608,112.2926,108.2719,84.0046,109.4894,88.5510,119.7155
3840-4320,189.2203,135.8748,118.2731,104.6562,116.3561,77.3243,98.0542,94.3010,116.7575
4320-4800,205.6455,127.8877,109.7792,101.2942,126.0554,96.3689,98.7690,103.9659,121.2207
4800-5280,188.2294,131.7604,97.0057,99.0381,79.9304,83.7535,113.5812,106.7804,112.5099
5280-5760,172.5255,128.8086,95.8465,98.0417,115.6339,84.3878,137.0726,106.0765,117.2991
5760-6240,183.1028,134.2749,98.7045,104.5803,104.9407,86.5495,126.2850,97.3455,116.9729
6240-6720,195.1405,150.2792,99.8989,114.6367,105.9951,78.5686,121.9218,92.5391,119.8725
6720-7200,223.4001,136.2432,97.3378,113.5842,112.8613,84.8918,117.3924,100.6853,123.2995
7200-7680,217.3516,141.9507,86.6102,104.6006,103.7651,86.8788,141.3650,113.9068,124.5536
7680-8160,195.3019,143.8290,95.4245,114.9698,113.2626,88.1886,169.9392,121.2926,130.2760
8160-8640,193.5469,152.8043,111.4945,121.3861,102.2539,82.1874,128.7638,122.5372,126.8718
8640-9120,291.3717,166.7699,148.2467,134.0414,94.6021,74.3874,146.1063,137.1831,149.0886
9120-9600,431.2027,192.1006,122.4639,129.5082,98.8915,87.7793,126.9122,118.4634,163.4152
