,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,29.1209,29.1147,39.6603,39.6906,30.6908,30.5374,38.1680,38.4702,34.4316
2880-3360,23.7032,23.6991,39.9694,39.9998,27.4564,27.9307,30.6465,30.9538,30.5449
3360-3840,31.5482,31.4035,45.1455,45.1762,27.8164,27.9646,27.4202,27.7262,33.0251
3840-4320,38.9296,39.0666,45.5722,46.1586,30.2066,30.1170,22.8838,23.6514,34.5732
4320-4800,51.5182,51.5897,36.2886,39.0180,32.7697,32.5685,34.3222,34.8364,39.1139
4800-5280,31.9414,31.9822,39.0131,39.2332,22.8959,24.0442,34.8410,35.4571,32.4260
5280-5760,33.5977,34.3781,30.5888,30.6704,24.8579,24.7228,39.4971,39.7272,32.2550
5760-6240,39.6232,39.4846,34.2882,35.4793,31.7229,31.5098,40.8315,41.0617,36.7502
6240-6720,66.2160,66.0714,51.9991,52.3982,41.4729,41.2251,49.0621,49.2922,52.2171
6720-7200,61.0641,60.9194,57.4693,57.4960,41.6791,41.8934,46.4170,46.7617,51.7125
7200-7680,87.7872,87.9233,43.7722,44.3907,37.5160,37.8028,71.0331,71.2632,60.1861
7680-8160,49.7081,49.5634,58.7264,59.0812,47.4917,47.3502,93.8788,94.1090,62.4886
8160-8640,76.3100,76.6725,59.1330,59.6957,44.4536,45.3623,108.3326,108.5627,72.3153
8640-9120,141.4191,141.2745,85.3927,85.4229,44.5128,44.3507,130.1515,130.3816,100.3632
9120-9600,203.5790,203.4344,84.8052,85.0016,52.8102,52.8018,106.3617,106.5918,111.9232
