,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,96.5133,60.6015,53.6423,48.0940,73.7891,38.6040,57.6736,48.3479,51.8535
2880-3360,82.3662,61.4752,71.6657,51.9647,94.2123,38.4918,62.3501,33.9348,49.4785
3360-3840,105.4685,69.1693,86.3198,57.8901,62.4398,36.9327,58.1812,32.8696,53.2916
3840-4320,118.7049,66.2534,65.0958,49.7289,69.8762,30.2666,47.6167,39.0978,50.4127
4320-4800,136.4583,60.2028,54.4969,46.9994,81.1951,49.1341,44.4521,48.6047,57.0548
4800-5280,118.6898,62.4052,43.6446,43.8394,34.4142,36.4060,59.9455,50.9960,50.7478
5280-5760,102.8923,59.3594,41.9344,43.4884,71.5209,37.9100,83.2643,50.3500,51.6213
5760-6240,111.7997,65.7347,41.5199,49.8461,59.5755,40.0483,73.0366,40.6672,51.7172
6240-6720,124.3166,80.8789,44.7030,60.6563,60.1790,31.8049,69.3428,36.6609,55.0119
6720-7200,153.8452,67.4458,41.3977,59.4912,66.3494,37.0600,65.9330,44.6686,57.6090
7200-7680,147.5146,74.6611,32.8668,50.2232,57.2943,40.9462,88.4822,57.2468,61.4088
7680-8160,125.6599,74.2826,42.5052,60.3670,68.1748,42.0288,115.1141,64.6956,65.3424
8160-8640,123.8894,83.9299,55.5163,67.3325,57.1374,35.7701,75.5093,66.7389,66.0697
8640-9120,219.8106,99.5644,93.9651,79.4584,49.0574,27.3484,92.5364,80.6009,78.9038
9120-9600,360.9638,123.1482,69.1561,74.9405,51.2425,40.9830,71.5617,62.2551,81.8797
