,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,27,53,16,143,16,92,16,110,473
2880-3360,13,57,14,137,9,80,16,96,422
3360-3840,21,57,15,145,18,88,19,97,460
3840-4320,18,53,22,166,18,85,8,79,449
4320-4800,31,56,18,136,18,82,7,109,457
4800-5280,23,68,27,132,9,86,11,111,467
5280-5760,22,68,17,133,16,76,14,100,446
5760-6240,27,65,18,151,16,99,13,119,508
6240-6720,32,80,25,187,32,109,24,167,656
6720-7200,37,86,26,215,25,133,11,152,685
7200-7680,47,88,19,192,32,111,22,172,683
7680-8160,42,88,35,198,35,118,25,198,739
8160-8640,43,108,32,169,37,145,30,224,788
8640-9120,29,114,37,190,47,129,39,246,831
9120-9600,33,115,41,222,33,157,33,210,844
