step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,30,55,26,49,22,63,26,49,160
2,30,55,26,49,23,62,27,48,160
3,30,55,25,50,24,61,27,48,160
4,30,55,26,49,25,60,27,48,160
5,32,54,26,48,27,59,26,48,160
6,33,53,25,49,28,58,26,48,160
7,33,53,25,49,29,57,25,49,160
8,33,53,25,49,29,57,25,49,160
9,33,53,25,49,30,56,25,49,160
10,34,52,26,48,31,55,25,49,160
11,35,51,27,47,32,54,24,50,160
12,36,50,27,47,33,53,24,50,160
13,37,49,27,47,34,52,24,50,160
14,38,48,27,47,35,51,24,50,160
