step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,29,50,22,59,24,55,29,52,160
2,30,46,18,66,25,51,26,58,160
3,25,51,21,63,29,47,31,53,160
4,30,53,23,54,30,53,28,49,160
5,36,56,20,48,35,57,25,43,160
6,36,49,18,57,61,24,23,52,160
7,31,39,22,68,46,24,25,65,160
8,28,37,26,69,41,24,24,71,160
9,35,51,28,46,62,24,18,56,160
10,37,46,30,47,59,24,23,54,160
11,43,38,30,49,43,38,24,55,160
12,23,37,39,61,34,26,45,55,160
13,23,44,34,59,35,32,38,55,160
14,18,41,41,60,24,35,44,57,160
