step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,24,56,21,59,21,59,21,59,160
2,26,54,18,62,23,57,21,59,160
3,24,55,20,61,23,56,19,62,160
4,26,59,22,53,29,56,21,54,160
5,35,53,16,56,26,62,16,56,160
6,28,56,16,60,29,55,14,62,160
7,30,51,22,57,22,59,18,61,160
8,31,43,26,60,22,52,22,64,160
9,33,46,29,52,30,49,23,58,160
10,35,50,24,51,22,63,23,52,160
11,32,45,29,54,22,55,23,60,160
12,25,49,26,60,21,53,24,62,160
13,18,48,22,72,26,40,18,76,160
14,19,45,26,70,14,50,22,74,160
