Reward Definition 1-avg,Reward Definition 2-avg,Reward Definition 3-avg,Reward Definition 1-sd,Reward Definition 2-sd,Reward Definition 3-sd
65.01938438,59.56457113,47.36260349,7.942061687,15.01820554,6.180279866
65.78792039,59.56457113,47.36260349,6.593240586,15.01820554,6.180279866
64.99174587,59.56457113,47.36260349,7.928114961,15.01820554,6.180279866
65.43957079,59.56457113,47.36260349,7.175233076,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.78792039,59.56457113,47.36260349,6.593240586,15.01820554,6.180279866
65.78792039,59.56457113,47.36260349,6.593240586,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.42022761,59.56457113,47.36260349,7.166434085,15.01820554,6.180279866
64.96937204,59.56457113,47.36260349,7.917018873,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76554657,59.56457113,47.36260349,6.583953435,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
65.76857722,59.56457113,47.36260349,6.585198842,15.01820554,6.180279866
60.26595141,56.28631056,45.79180523,4.908179962,13.72757765,4.510581107
58.83970377,57.55470403,47.70421137,4.798409269,11.56163154,5.613477531
60.43174,58.43057319,49.07494103,6.586015546,10.68585661,5.545288727
58.61059156,60.07789907,49.06498427,5.787150276,13.48424764,5.61887341
60.19492248,58.4513674,49.09573524,6.922958633,10.66919978,5.565801699
60.20728095,58.43057319,49.07494103,6.989304255,10.68585661,5.545288727
60.14678616,58.99522943,49.12108135,6.907004427,11.54616947,5.591016985
60.14678616,57.0285335,47.67290134,6.907004427,11.90337789,4.347665794
61.05859177,57.75281907,48.44614761,5.997752731,11.2783679,4.889891725
61.62979908,55.75808514,46.40245298,5.136729388,13.25870056,4.165019885
61.62979908,55.9748605,46.65790157,5.136729388,12.79913124,3.774644121
61.14404547,55.62918992,46.42549152,5.211719507,13.45333761,5.472736953
61.04830462,58.18303731,48.97933891,5.235903226,10.51265155,5.47621428
62.39377861,58.18303731,48.97933891,5.172753864,10.51265155,5.47621428
62.39377861,59.80527674,48.97933891,5.172753864,13.31901904,5.47621428
60.66040042,57.32049516,46.49455732,3.492642285,16.04819795,5.425591127
61.6467195,57.78613643,46.9601986,4.288749387,15.48239268,5.16912714
61.6467195,57.37031872,46.54438089,4.288749387,15.9866697,5.392972307
61.6467195,57.37031872,45.974917,4.288749387,15.9866697,6.052950103
61.6467195,57.37031872,46.04743629,4.288749387,15.9866697,5.96390037
61.6467195,57.37031872,46.04743629,4.288749387,15.9866697,5.96390037
61.6467195,57.37031872,46.04743629,4.288749387,15.9866697,5.96390037
61.6467195,57.44748661,46.04743629,4.288749387,16.11558707,5.96390037
61.6467195,57.52654472,46.04743629,4.288749387,16.24774171,5.96390037
61.03110712,57.52654472,46.04743629,5.348530629,16.24774171,5.96390037
61.6467195,57.52654472,46.04743629,4.288749387,16.24774171,5.96390037
60.40176351,57.52654472,46.04743629,5.068018124,16.24774171,5.96390037
60.79849516,57.52654472,46.04743629,5.747935275,16.24774171,5.96390037
60.79849516,57.52654472,46.04743629,5.747935275,16.24774171,5.96390037
60.79849516,57.52654472,46.04743629,5.747935275,16.24774171,5.96390037
60.79849516,57.52654472,46.04743629,5.747935275,16.24774171,5.96390037
60.79849516,57.48678916,46.04743629,5.747935275,16.18127583,5.96390037
60.79849516,57.40865262,46.04743629,5.747935275,16.05070095,5.96390037
60.79849516,57.40865262,46.04743629,5.747935275,16.05070095,5.96390037
60.79849516,57.37031872,46.04743629,5.747935275,15.9866697,5.96390037
60.79849516,57.37031872,46.04743629,5.747935275,15.9866697,5.96390037
60.85679456,57.37031872,46.04743629,5.647390155,15.9866697,5.96390037
61.03049664,57.37031872,46.04743629,5.347914253,15.9866697,5.96390037
60.76339991,57.37031872,46.04743629,5.808468982,15.9866697,5.96390037
60.62072276,57.52654472,46.04743629,3.950220661,16.24774171,5.96390037
60.76339991,57.52654472,46.04743629,5.808468982,16.24774171,5.96390037
60.38964358,57.52654472,46.04743629,6.453433995,16.24774171,5.96390037
60.73901837,57.52654472,46.04743629,5.850526328,16.24774171,5.96390037
60.79204843,57.45144259,45.97233416,5.837214589,16.34016796,5.999480749
60.88544308,57.45144259,45.95328002,5.676244441,16.34016796,6.022257348
61.67475754,57.45144259,45.95328002,4.318194419,16.34016796,6.022257348
61.09394847,58.17699309,46.67883053,4.042935687,15.46992617,5.797637755
60.54522198,59.96150274,48.47247377,4.125885752,13.58935464,6.349802428
60.53178829,59.96150274,48.46334017,4.056223848,13.58935464,6.36555522
60.94526553,58.17699309,46.67883053,3.331308706,15.46992617,5.797637755
61.53660836,57.52654472,46.02838215,3.252093181,16.24774171,5.987170864
61.41442122,57.52654472,46.02838215,2.796090563,16.24774171,5.987170864
61.39803985,57.52654472,46.02838215,2.812539847,16.24774171,5.987170864
61.39803985,57.52654472,46.02838215,2.812539847,16.24774171,5.987170864
61.45961464,57.52654472,45.99883946,2.989596784,16.24774171,6.023430633
61.40076932,57.52654472,45.98030254,2.888267302,16.24774171,6.04629234
61.42995196,57.52654472,45.96872301,2.938513603,16.24774171,6.060616
61.45961464,57.52654472,45.96872301,2.989596784,16.24774171,6.060616
62.02129478,57.52654472,45.98030254,2.693233567,16.24774171,6.04629234
62.02129478,57.52654472,45.96872301,2.693233567,16.24774171,6.060616
62.63176652,57.52654472,45.96872301,2.852659626,16.24774171,6.060616
62.63176652,57.52654472,45.96872301,2.852659626,16.24774171,6.060616
62.63176652,57.52654472,45.96872301,2.852659626,16.24774171,6.060616
62.63176652,57.52654472,45.96872301,2.852659626,16.24774171,6.060616
62.04053062,57.52654472,45.96872301,3.856340665,16.24774171,6.060616
61.74155879,57.52654472,45.96872301,4.367476448,16.24774171,6.060616
62.04053062,57.52654472,45.96872301,3.856340665,16.24774171,6.060616
61.68597422,57.52654472,45.96872301,4.46267662,16.24774171,6.060616
61.1985813,57.52654472,45.96872301,5.299102715,16.24774171,6.060616
61.1985813,57.52654472,45.96872301,5.299102715,16.24774171,6.060616
61.63414487,57.52654472,45.96872301,4.551485948,16.24774171,6.060616
61.63414487,57.45144259,45.89362088,4.551485948,16.34016796,6.094177002
61.63414487,58.6696292,47.11180749,4.551485948,14.91050197,5.890647188
61.68597422,59.96150274,48.40368103,4.46267662,13.58935464,6.46845786
61.25740251,59.15973406,47.60191236,4.042784275,14.38262097,6.019142414
61.3236085,58.6696292,47.11180749,3.92811296,14.91050197,5.890647188
61.75218021,58.6696292,47.11180749,4.349290437,14.91050197,5.890647188
61.3236085,59.96150274,48.40368103,3.92811296,13.58935464,6.46845786
60.67659345,58.17699309,46.61917139,3.64902999,15.46992617,5.883355373
61.0533358,58.6696292,47.11180749,4.282964586,14.91050197,5.890647188
60.67659345,58.6696292,47.11180749,3.64902999,14.91050197,5.890647188
60.67659345,58.6696292,47.11180749,3.64902999,14.91050197,5.890647188
61.68597422,57.45144259,45.89362088,4.46267662,16.34016796,6.094177002
61.31298708,57.52654472,45.96872301,3.946509664,16.24774171,6.060616
60.74279944,57.52654472,45.96872301,3.537901315,16.24774171,6.060616
61.25740251,57.52654472,45.96872301,4.042784275,16.24774171,6.060616
60.7700096,57.45144259,45.89362088,4.886968714,16.34016796,6.094177002
61.3236085,57.52654472,45.96872301,3.92811296,16.24774171,6.060616
60.7700096,57.52654472,45.96872301,4.886968714,16.24774171,6.060616
60.7700096,57.52654472,45.96872301,4.886968714,16.24774171,6.060616
60.7700096,57.52654472,45.96872301,4.886968714,16.24774171,6.060616
60.84961755,57.52654472,45.96872301,3.58577302,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.78404483,57.52654472,45.96872301,4.899233558,16.24774171,6.060616
60.72401584,57.52654472,45.96872301,4.847413497,16.24774171,6.060616
60.89800224,54.96419087,43.02726545,7.533236723,18.97699763,2.549963198
60.73555411,56.37432729,44.38932226,8.3483734,17.68215386,3.16864144
61.21384048,56.52971995,44.53313539,8.145957474,17.72912335,4.173780785
61.22398684,57.26872302,45.65204186,7.126219604,17.65977045,3.190517068
61.82473649,58.44701582,46.79958369,7.184526747,16.53759789,3.640357993
60.57530334,58.82137602,46.60548935,7.628053772,16.41060712,4.797952055
61.2562614,57.13894017,44.95937235,7.965225064,17.76777439,3.364286127
61.44264295,58.84515211,46.48530454,7.092706166,16.19875483,5.236495923
62.19880953,56.28372246,44.63629034,7.391326975,18.4186193,1.848015646
62.26406841,55.42160719,43.70233189,7.467171433,19.35645165,1.186841498
62.56446801,56.41287436,44.61853825,7.064449429,18.68755092,1.825506926
62.56446801,57.68230471,45.88796861,7.064449429,17.74789701,3.743264499
62.92586866,56.91265841,45.88796861,6.457837715,16.42839494,3.743264499
63.47561472,57.68249376,45.92601467,5.338069212,17.64254525,3.731849889
62.88756266,57.69341513,45.93693604,6.411132214,17.63097625,3.728781936
62.9572679,59.25684631,47.49273338,6.496376914,16.13870194,4.2374149
62.9572679,59.28147359,47.44229985,6.496376914,16.31266746,4.194827183
62.9572679,58.74355573,46.904382,6.496376914,16.80261467,3.836118671
62.50692089,57.97360021,46.904382,7.251697359,15.47111532,3.836118671
62.50692089,57.97790648,46.904382,7.251697359,15.47856122,3.836118671
61.75518863,57.97790648,46.904382,8.522420403,15.47856122,3.836118671
62.087697,57.96666774,46.904382,7.959102137,15.4591285,3.836118671
61.85512287,57.96666774,46.904382,8.283207899,15.4591285,3.836118671
61.87959554,57.31408139,46.904382,8.311454474,14.33090727,3.836118671
61.87959554,57.32289533,46.91319594,8.311454474,14.3224601,3.840445055
61.73071596,57.36391807,46.95421868,8.494337728,14.28329343,3.861311837
61.85512287,57.32289533,46.91319594,8.283207899,14.3224601,3.840445055
61.48870121,57.96666774,46.904382,7.875461649,15.4591285,3.836118671
60.59122732,57.33220592,46.92250653,7.020565209,14.31354922,3.84507577
60.14778538,58.73743954,46.94310344,7.78829212,16.68853383,3.855539741
59.24888354,57.96666774,46.904382,8.543586122,15.4591285,3.836118671
59.58675291,57.32289533,46.91319594,7.960470167,14.3224601,3.840445055
59.58675291,56.61939937,46.20969998,7.960470167,15.03055842,3.682973926
60.32583715,56.80900018,46.39930079,7.686379435,14.83319306,3.686636554
59.98702126,56.93324402,46.52354463,7.270097046,14.70640204,3.704855813
60.10359638,57.36391807,46.95421868,7.069138285,14.28329343,3.861311837
60.10359638,57.36391807,46.95421868,7.069138285,14.28329343,3.861311837
60.10359638,57.36391807,46.95421868,7.069138285,14.28329343,3.861311837
60.07972353,57.36391807,46.95421868,7.052193286,14.28329343,3.861311837
59.6639849,57.36391807,46.95421868,7.82722223,14.28329343,3.861311837
59.33862761,56.34663543,45.93693604,8.388671817,15.32238154,3.728781936
60.62220866,56.34663543,45.93693604,9.5284955,15.32238154,3.728781936
60.10550842,56.34663543,45.93693604,10.41674605,15.32238154,3.728781936
61.41462386,56.34663543,45.93693604,8.169110107,15.32238154,3.728781936
61.4446112,56.8636789,45.84941347,8.201590825,14.77714127,4.661100594
61.93580949,57.36391807,46.25428688,7.450173542,14.28329343,5.052000683
61.71434833,57.36391807,46.25428688,8.50244562,14.28329343,5.052000683
60.60716561,57.36391807,46.26586641,10.38975027,14.28329343,5.032218153
60.7363355,56.34663543,45.33237,9.245957127,15.32238154,4.588329622
60.5001564,56.34663543,45.34394953,9.738202771,15.32238154,4.571131376
60.42030178,55.66972246,45.39202914,9.875446149,14.16502672,4.499975253
60.48153136,56.34663543,45.39202914,9.939745335,15.32238154,4.499975253
60.48153136,55.66972246,45.30814968,9.939745335,14.16502672,4.624376774
60.42030178,56.34663543,45.39202914,9.875446149,15.32238154,4.499975253
60.48153136,55.66972246,45.39202914,9.939745335,14.16502672,4.499975253
60.48153136,54.98631415,45.36402989,9.939745335,12.99931085,4.54136303
60.75142549,55.66972246,45.30814968,10.23145916,14.16502672,4.624376774
60.48153136,53.81527927,45.30814968,9.939745335,11.01075534,4.624376774
60.21725538,53.29507179,45.36402989,11.07624069,10.13243615,4.54136303
60.17399497,53.52671469,45.39202914,11.1503121,10.52306823,4.499975253
59.85747623,52.2677496,45.30814968,11.76081538,8.412023754,4.624376774
60.06441416,52.21047018,45.39202914,11.40633255,8.31683066,4.499975253
60.06441416,52.7563437,45.39202914,11.40633255,9.227463027,4.499975253
60.06441416,52.7563437,45.39202914,11.40633255,9.227463027,4.499975253
60.06441416,54.09398286,45.39202914,11.40633255,11.48276656,4.499975253
60.06441416,55.36688381,45.29666338,11.40633255,13.64808125,4.64150655
60.03994149,54.66371472,45.29666338,11.37991269,12.45021957,4.64150655
60.03994149,53.35209363,45.22286955,11.37991269,10.22851917,4.752070722
59.65919791,52.7563437,45.22286955,12.01330858,9.227463027,4.752070722
59.65723793,52.7563437,45.22286955,12.01667055,9.227463027,4.752070722
60.6288912,53.35209363,45.22286955,10.37204546,10.22851917,4.752070722
61.24370983,53.35209363,45.22286955,9.391925924,10.22851917,4.752070722
60.2537881,54.09398286,45.22286955,11.08215902,11.48276656,4.752070722
60.9738157,55.36688381,45.22286955,9.095199133,13.64808125,4.752070722
60.9738157,55.36688381,45.22286955,9.095199133,13.64808125,4.752070722
60.65336387,55.36688381,45.22286955,10.39894692,13.64808125,4.752070722
60.2537881,54.09398286,45.29666338,11.08215902,11.48276656,4.64150655
60.65336387,54.09398286,45.39202914,10.39894692,11.48276656,4.499975253
60.2537881,53.35209363,45.39202914,11.08215902,10.22851917,4.499975253
59.98389397,54.09398286,45.29666338,10.79477193,11.48276656,4.64150655
61.24370983,54.66371472,45.22286955,9.391925924,12.45021957,4.752070722
61.24370983,55.36688381,45.22286955,9.391925924,13.64808125,4.752070722
61.24370983,54.66371472,45.22286955,9.391925924,12.45021957,4.752070722
60.65336387,55.36688381,45.22286955,10.39894692,13.64808125,4.752070722
