,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,405.6482,90.3246,256.6262,140.0223,121.0716,115.6586,116.8214,87.8567,166.7537
2880-3360,263.9631,85.0582,171.7296,161.2419,104.8473,115.4799,102.9862,104.3220,138.7035
3360-3840,77.0490,110.0667,90.1481,165.5624,141.0036,113.2333,130.3895,127.9130,119.4207
3840-4320,74.4797,91.3161,91.3574,172.1911,145.9566,129.8116,132.6313,129.1205,120.8580
4320-4800,77.9470,91.9198,107.7557,178.0037,133.4982,125.6960,118.8503,114.2025,118.4842
4800-5280,81.1782,89.4588,95.1182,170.8507,119.7534,114.9965,135.9599,134.3362,117.7065
5280-5760,91.2844,96.6476,87.5342,167.1409,89.2787,112.2234,121.9976,117.0755,110.3978
5760-6240,69.7754,111.8807,85.1557,173.1647,121.0723,108.5293,144.9655,121.0686,116.9515
6240-6720,82.6157,101.4843,95.9735,167.9897,95.3308,104.3348,170.9099,120.0586,117.3372
6720-7200,96.0388,110.7948,131.9852,167.1905,120.1766,106.0923,153.7063,109.1454,124.3912
7200-7680,112.3263,113.4816,146.6627,171.3103,92.7795,111.2187,130.5041,115.2838,124.1959
7680-8160,99.3845,126.4690,107.3440,170.2062,97.5671,138.0224,121.4766,113.0311,121.6876
8160-8640,108.1941,119.5472,124.2722,174.3986,130.5758,190.8164,155.5088,109.9122,139.1532
8640-9120,100.6536,114.4855,145.3522,172.7368,97.8570,107.0401,199.3727,124.5748,132.7591
9120-9600,102.0239,115.8027,144.3702,179.0808,102.5738,140.1535,298.0423,127.1380,151.1481
