step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,67,41,19,33,50,58,20,32,160
2,76,36,14,34,89,23,24,24,160
3,85,32,14,29,56,61,15,28,160
4,78,31,15,36,51,58,18,33,160
5,85,36,15,24,70,51,15,24,160
6,79,30,14,37,64,45,18,33,160
7,80,32,18,30,78,34,15,33,160
8,61,31,23,45,55,37,26,42,160
9,50,43,14,53,68,25,27,40,160
10,52,37,19,52,61,28,36,35,160
11,62,34,17,47,73,23,40,24,160
12,55,30,14,61,57,28,30,45,160
13,62,27,18,53,60,29,29,42,160
14,61,31,18,50,67,25,26,42,160
