,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,221.7352,221.7231,143.4024,143.5873,25.5282,26.1744,14.8854,14.8835,101.4899
2880-3360,175.5131,176.6099,76.1194,76.2989,28.7227,29.1568,19.3314,19.3870,75.1424
3360-3840,34.9342,34.9821,49.0809,49.3774,29.7556,30.0211,32.7986,32.7963,36.7183
3840-4320,33.1372,33.7076,54.7984,55.0321,32.4296,33.0117,23.1289,23.1266,36.0465
4320-4800,27.2289,29.2512,50.9355,51.1166,29.6533,30.2977,23.0992,23.0970,33.0849
4800-5280,32.5663,33.6791,46.8503,47.0352,20.2367,21.5600,26.5864,26.5840,31.8873
5280-5760,33.0439,34.4256,39.9387,40.1109,20.3588,22.2356,27.3054,27.3238,30.5928
5760-6240,35.8310,36.2834,49.6014,49.9137,25.7624,26.2089,31.5813,31.5789,35.8451
6240-6720,40.4582,40.5127,53.5053,53.9029,26.8506,27.5338,54.1351,54.1327,43.8789
6720-7200,65.7402,65.7282,65.8594,66.1229,32.4715,32.7323,52.4830,52.4806,54.2023
7200-7680,63.7827,63.7706,86.7083,86.9333,27.3708,27.8151,50.3134,50.3111,57.1256
7680-8160,68.8693,68.8573,62.0918,62.2705,55.9569,56.2383,50.8218,50.8196,59.4907
8160-8640,80.4517,80.4397,93.6907,94.0012,114.1903,114.4717,68.1851,68.2027,89.2041
8640-9120,82.5388,82.5268,87.0179,87.2028,47.0470,47.4191,111.0123,111.0099,81.9718
9120-9600,63.9638,63.9518,128.5572,128.7421,95.2819,95.5580,200.9428,200.9403,122.2423
