step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,40,78,14,28,73,45,18,24,160
2,52,63,17,28,56,59,17,28,160
3,45,71,14,30,51,65,14,30,160
4,47,49,14,50,46,50,20,44,160
5,39,83,14,24,42,80,14,24,160
6,49,70,14,27,41,78,16,25,160
7,46,74,14,26,43,77,16,24,160
8,45,60,16,39,44,61,26,29,160
9,47,50,14,49,41,56,27,36,160
10,43,56,16,45,55,44,31,30,160
11,39,58,19,44,64,33,38,25,160
12,32,58,20,50,61,29,34,36,160
13,44,42,20,54,49,37,28,46,160
14,57,34,21,48,54,37,17,52,160
