,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,355.581704,40.057916,186.426631,70.578309,54.579154,59.227765,53.297782,23.122385,108.117468
2880-3360,320.806662,35.512716,96.679422,44.04362,58.779998,66.484358,42.923098,41.370371,84.560821
3360-3840,197.402682,44.577658,26.584515,37.726114,61.489148,60.962807,75.888951,65.889932,72.461239
3840-4320,69.554522,28.211621,29.007849,51.733968,88.102219,62.168751,77.70731,65.665359,49.886923
4320-4800,52.305684,51.373223,30.880986,77.416294,71.978386,64.375917,63.695399,45.722111,58.377264
4800-5280,73.78735,31.167772,39.131867,41.146618,65.621795,58.68721,75.192327,67.784556,47.996126
5280-5760,75.277441,24.741244,47.530412,28.930152,42.346631,60.547644,60.975105,56.380807,42.759358
5760-6240,41.93521,25.260395,41.434438,30.297939,74.613138,62.809481,80.474519,66.984605,41.437097
6240-6720,53.282251,30.139924,53.397403,60.847581,47.284243,61.045989,94.131324,68.500258,55.800351
6720-7200,52.092457,43.485857,117.006994,84.662235,67.989214,68.918348,89.724054,52.109546,70.414394
7200-7680,93.760643,40.544512,148.700106,82.450975,43.785874,64.481186,72.237258,54.24184,77.167755
7680-8160,106.560862,53.139637,127.387775,71.073499,47.163945,77.934622,70.596795,51.743236,74.533423
8160-8640,160.162223,66.130192,62.162303,67.496835,78.547362,138.212291,79.341284,55.732864,82.405672
8640-9120,274.47923,65.344615,62.82123,84.293259,44.96041,70.652351,123.926057,59.603127,89.880345
9120-9600,262.736555,57.193477,126.659269,101.452025,42.351275,62.056819,246.230427,99.563447,107.986583
