,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,405.6482,90.3246,256.6262,140.0223,121.0716,115.6586,116.8214,87.8567,166.7537
2880-3360,370.8530,85.4767,165.5303,114.7817,110.7407,120.2503,103.5299,105.5736,147.0920
3360-3840,246.5504,94.9455,95.3967,107.2569,115.3818,115.5958,143.3138,129.2496,130.9613
3840-4320,119.4196,77.2330,97.6390,121.6630,145.7923,117.0270,139.9718,129.2902,118.5045
4320-4800,102.9216,100.1771,98.8618,148.4345,127.8908,118.4802,125.6978,108.7202,116.3980
4800-5280,123.0953,81.6347,106.8603,112.1303,120.7534,111.6611,136.5071,132.3626,115.6256
5280-5760,125.3728,74.5335,115.0360,98.7787,94.7050,115.9320,123.7244,120.1342,108.5271
5760-6240,92.1139,75.2624,112.9486,100.0330,128.1166,116.5885,144.6768,131.9009,112.7051
6240-6720,102.2279,79.6201,121.7006,130.7670,101.8972,115.2650,156.1810,133.4609,117.6400
6720-7200,101.4126,92.8778,184.5356,153.8543,125.2074,124.7579,153.6912,116.1750,131.5640
7200-7680,142.9557,89.5219,217.1086,152.1010,96.7513,119.1156,135.6581,120.2598,134.1840
7680-8160,155.9334,103.2483,197.2983,141.2940,99.4570,133.0039,133.6858,116.8405,135.0951
8160-8640,210.7817,116.1675,130.5388,137.2927,132.6674,192.9579,143.8334,120.2563,148.0620
8640-9120,324.3042,114.7984,131.1095,154.8164,97.6272,126.6991,187.2957,125.2516,157.7378
9120-9600,312.2373,107.4363,196.0412,171.2089,96.5779,117.1347,308.0663,164.2780,184.1226
