,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,355.581704,40.057916,186.426631,70.578309,54.579154,59.227765,53.297782,23.122385,108.117468
2880-3360,201.760258,36.517018,92.058863,92.210759,57.595684,66.494185,42.089765,40.656502,92.026129
3360-3840,21.249654,50.470819,14.887055,98.433468,88.486807,63.576508,64.131856,60.392022,62.443258
3840-4320,23.8231,47.239067,15.192444,99.880188,87.749634,71.342887,77.70731,65.493933,64.005492
4320-4800,27.868884,52.79739,24.273628,105.29242,75.778386,69.963307,64.163892,58.895261,65.283027
4800-5280,38.726496,47.453971,19.193297,86.804033,64.821795,61.092824,74.465067,74.486299,58.615816
5280-5760,49.04735,46.813881,13.653615,97.382313,29.96213,52.737457,57.082633,50.066936,57.7307
5760-6240,26.272336,58.560962,25.045299,108.737492,66.579698,58.690432,77.877988,59.0866,64.748528
6240-6720,32.954484,55.17087,17.307512,101.873745,42.596049,55.666666,90.700135,53.13029,61.309853
6720-7200,46.461768,64.125155,54.629688,99.212362,62.119087,48.35268,76.796646,44.961083,66.005885
7200-7680,58.033505,60.590383,74.575466,100.831662,44.061446,63.365442,70.607714,54.671892,72.826956
7680-8160,44.393188,65.65251,37.447492,98.693884,48.463849,66.541298,63.331645,48.672131,65.129531
8160-8640,60.55007,64.633177,77.078691,107.263634,71.735248,84.711751,80.407786,42.159029,74.432739
8640-9120,69.145385,75.060897,76.41928,108.438318,43.512879,51.985707,116.283106,47.639408,75.763377
9120-9600,57.350378,61.661729,79.632861,117.099421,43.56033,77.719011,175.221382,48.98451,81.933854
