,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,intersection
2400-2880,221.7352,221.7231,143.4024,143.5873,25.5282,26.1744,14.8854,14.8835,101.4899
2880-3360,170.8626,170.8506,71.8883,72.0858,30.3220,30.7614,19.1926,19.1903,73.1442
3360-3840,29.0820,30.0322,48.8048,49.2001,31.2518,31.5534,32.6342,32.6318,35.6488
3840-4320,32.3580,33.6095,48.9468,49.2505,31.8111,32.3609,23.5261,23.5239,34.4233
4320-4800,30.3131,31.8489,45.5124,46.0963,28.8770,29.5161,25.0079,25.0055,32.7721
4800-5280,40.4579,40.4459,40.0694,40.2481,20.0503,21.3545,28.5363,28.5339,32.4620
5280-5760,36.2028,37.5843,37.9538,38.4384,18.5204,20.3802,26.7769,26.7942,30.3314
5760-6240,39.0059,39.5790,53.5381,53.7479,26.2015,26.6651,30.5999,30.5975,37.4919
6240-6720,41.1443,41.6168,53.0956,53.6662,29.0980,29.7835,49.1850,49.1826,43.3465
6720-7200,64.9024,64.8903,61.8413,62.3355,31.3457,31.6048,45.6186,45.6162,51.0193
7200-7680,60.7939,60.7818,88.0057,88.2497,29.3261,29.7765,52.1592,52.1569,57.6562
7680-8160,62.4566,62.4446,60.3108,60.5679,46.9953,47.2767,53.8740,53.8717,55.9747
8160-8640,81.9405,81.9285,96.7750,96.9584,68.4692,68.7470,64.4474,64.4450,77.9639
8640-9120,103.0468,103.0348,82.6869,82.8719,46.9052,47.2488,95.3288,95.3264,82.0562
9120-9600,61.5155,61.5035,102.1461,102.3310,84.9751,85.3456,154.8898,154.8873,100.9492
