step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,30,53,22,55,30,53,33,44,160
2,32,52,21,55,32,52,32,44,160
3,34,51,20,55,34,51,31,44,160
4,36,50,19,55,36,50,30,44,160
5,38,49,18,55,38,49,29,44,160
6,40,48,17,55,40,48,28,44,160
7,42,47,16,55,42,47,28,43,160
8,43,46,16,55,43,46,28,43,160
9,45,45,15,55,45,45,28,42,160
10,47,44,14,55,47,44,28,41,160
11,48,43,14,55,48,43,29,40,160
12,49,42,14,55,49,42,30,39,160
13,50,41,14,55,50,41,31,38,160
14,51,40,14,55,51,40,32,37,160
