step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,30,53,22,55,30,53,33,44,160
2,30,53,22,55,30,53,33,44,160
3,30,53,22,55,30,53,33,44,160
4,30,53,22,55,30,53,33,44,160
5,30,53,22,55,30,53,33,44,160
6,30,53,22,55,30,53,33,44,160
7,30,53,22,55,30,53,33,44,160
8,30,53,22,55,30,53,33,44,160
9,30,53,22,55,30,53,33,44,160
10,30,53,22,55,30,53,33,44,160
11,30,53,22,55,30,53,33,44,160
12,30,53,22,55,30,53,33,44,160
13,30,53,22,55,30,53,33,44,160
14,30,53,22,55,30,53,33,44,160
