step,EBL,EBT,WBL,WBT,SBL,SBT,NBL,NBT,cycle
1,77,39,15,29,76,40,20,24,160
2,76,36,15,33,58,54,21,27,160
3,88,29,17,26,81,36,14,29,160
4,70,36,21,33,70,36,19,35,160
5,71,50,14,25,70,51,15,24,160
6,68,27,24,41,50,45,21,44,160
7,87,29,14,30,72,44,18,26,160
8,58,36,14,52,68,26,24,42,160
9,53,40,15,52,66,27,30,37,160
10,57,44,14,45,65,36,32,27,160
11,59,36,17,48,70,25,38,27,160
12,52,27,21,60,49,30,33,48,160
13,59,30,14,57,62,27,30,41,160
14,54,29,15,62,51,32,35,42,160
