Reward Definition 1-avg,Reward Definition 2-avg,Reward Definition 3-avg,Reward Definition 1-sd,Reward Definition 2-sd,Reward Definition 3-sd
74.82442453,77.37633845,77.3073112,1.084178465,4.639468079,4.913419909
75.28112609,79.0496276,77.23112615,1.238232716,2.459570881,4.428461037
75.31672038,81.08996837,77.50276383,1.274350334,0.266155205,4.760982135
75.47339806,80.38940427,76.86704332,1.402830224,1.849641852,2.519282767
75.57733074,77.29039112,77.84565026,1.492502595,5.156729797,1.415033086
75.59541894,79.22244797,76.11037755,1.509758596,2.713290136,3.779785873
75.62056187,78.17523885,75.56401635,1.37110752,3.708563244,3.155524497
76.22503587,78.22383086,73.46885742,0.236990354,3.607012535,4.54458721
75.48051349,78.52202704,72.41519381,1.526540934,1.934513093,8.796359584
75.75049953,78.94629305,71.84779037,1.11959201,2.840737548,10.52733075
76.15964434,78.40118264,71.04846893,0.250510886,1.74524646,13.35219017
75.99392872,77.962497,70.24631853,0.318639838,3.889355243,14.74133192
76.04436652,78.08015188,69.86772897,0.275029559,3.838999237,12.17745245
76.05587464,78.39031738,72.53349467,0.280811786,3.886468678,11.77764915
76.12466014,78.11513788,71.03079741,0.283994254,4.064538636,10.56870898
76.29382136,77.88615662,71.52394382,0.31399647,3.530724273,10.92060712
76.29382136,77.5898763,70.85084852,0.31399647,4.732712851,12.21587293
75.59541894,75.18351212,72.37514958,1.509758596,7.642419427,11.05480482
75.81970659,76.0046713,72.37514958,1.122503245,6.309148658,11.05480482
76.24668101,76.86107375,72.37514958,0.392031145,5.467226925,11.05480482
76.29382136,76.773234,71.56703203,0.31399647,2.653610125,10.82036555
75.81970659,72.45581674,70.43211013,1.122503245,8.514341971,10.20010136
76.29382136,73.62794814,70.43211013,0.31399647,4.763924593,10.20010136
76.29382136,73.28217907,71.52339107,0.31399647,5.140680157,10.89579513
75.69876906,76.52315606,71.52339107,1.13346134,1.554846906,10.89579513
75.47470793,76.57070081,70.43211013,1.521538085,1.528497764,10.20010136
75.07226116,73.62963147,69.36981486,1.323215398,3.905563094,11.99839488
76.24489727,73.79135528,71.36485409,0.380181563,4.038051249,11.36838216
76.19419997,74.30366201,69.81029901,0.33365744,4.458052372,11.25109209
76.13649566,74.45297303,68.7796826,0.289524771,4.022241946,13.00243012
76.13649566,73.737388,68.63491441,0.289524771,5.257509192,13.24915775
76.03752229,74.05197226,68.7796826,0.288397704,3.620097092,13.00243012
76.05587464,72.51407067,68.86406868,0.280811786,5.071719883,12.93305948
75.87190785,72.39528608,68.86406868,0.107293488,5.020450092,12.93305948
75.2965467,74.55301785,68.6674436,1.394790957,4.045828632,13.26837287
75.2965467,75.07911552,68.83153949,1.394790957,4.224247748,12.91408836
75.52060784,74.5457539,68.83153949,1.01727838,4.101954609,12.91408836
74.70802469,73.10138143,68.89717461,1.050538538,4.376162228,12.95259006
74.27118186,74.64838404,68.89717461,0.205797798,4.149155066,12.95259006
74.59201512,75.28370123,69.20068376,1.08760773,4.335142897,12.5123786
75.3057016,74.07238211,70.74653208,0.916091241,4.121536031,9.887395582
75.28939714,73.40951044,70.71281632,0.901644653,4.423049059,9.870289008
74.99312079,73.35172051,70.74653208,0.707500212,4.467830737,9.887395582
75.29607401,73.17306247,70.74653208,1.099662583,4.617263336,9.887395582
75.50913559,74.48730578,69.22984901,0.593359313,3.976127379,12.52967456
75.21782363,73.32253111,68.98988326,1.025613617,4.491128015,13.00847182
75.58937351,75.31446998,69.02041981,0.903216624,4.201887983,13.02725912
75.62777219,74.71234779,68.98988326,0.485477275,3.988155725,13.00847182
