Reward Definition 1-avg,Reward Definition 2-avg,Reward Definition 3-avg,Reward Definition 1-sd,Reward Definition 2-sd,Reward Definition 3-sd
77.59560381,79.75393865,78.78354397,1.129453873,4.372586529,4.362829377
79.42079452,77.52774822,76.72914349,2.999341657,6.886815746,6.970916987
79.77850916,75.08524202,74.77709173,5.348007922,8.881087155,10.79761408
78.18827257,72.43842835,71.99718339,7.782453509,8.642510124,13.61943991
77.90244388,69.67485062,68.58993585,8.3710291,10.2270262,15.61386427
78.68940369,68.37285126,66.33817006,4.106630648,10.59366408,16.53591368
79.77784857,69.13071527,67.77510348,4.92390259,10.26660757,12.69283891
79.64304926,69.19030958,67.78075203,5.554040542,10.18510996,12.57769665
80.29760278,69.13071527,64.93636595,4.679209195,10.26660757,14.91496155
78.93230896,68.946291,69.2658888,6.593884439,10.31415275,11.52051236
78.93230896,68.946291,69.56194357,6.593884439,10.31415275,10.05745778
78.93230896,68.946291,67.80472298,6.593884439,10.31415275,12.74338858
78.93230896,69.01477727,68.45262964,6.593884439,10.2953656,12.69777287
78.93230896,68.946291,67.45904608,6.593884439,10.31415275,13.32903651
78.93230896,68.946291,65.20589604,6.593884439,10.31415275,16.53207175
78.91194386,68.946291,64.95905378,6.624645413,10.31415275,16.85726421
78.93230896,69.13071527,65.67916714,6.593884439,10.26660757,15.64762963
78.93230896,69.13071527,66.39102114,6.593884439,10.26660757,14.62967584
78.93230896,69.13071527,69.08362624,6.593884439,10.26660757,10.45680225
78.93230896,69.13071527,69.058711,6.593884439,10.26660757,10.45994075
78.93230896,70.1123656,66.5276113,6.593884439,8.981275431,9.74883809
78.86721433,70.1123656,66.72102547,6.653176486,8.981275431,8.84769516
78.86721433,70.1123656,67.29572868,6.653176486,8.981275431,9.381408083
77.66864142,69.50405176,66.6080218,4.978105381,9.837713763,6.886287866
78.89271227,69.13071527,65.35428975,6.653735371,10.26660757,5.444379124
79.00731513,69.13071527,63.5750085,6.706004389,10.26660757,4.538533519
79.00731513,69.13071527,62.76083525,6.706004389,10.26660757,4.774402079
79.00731513,69.13071527,63.77980887,6.706004389,10.26660757,4.546624718
78.98695003,69.13071527,64.71513728,6.736593519,10.26660757,5.029235801
78.02362065,69.13071527,66.58605515,8.226506357,10.26660757,6.83428168
79.00731513,69.13071527,64.8866625,6.706004389,10.26660757,5.103633067
78.60047929,69.19540842,66.54371138,7.325074736,10.25223544,6.854083153
78.96771843,69.13071527,66.56113991,6.76552195,10.26660757,6.825420913
78.98695003,69.13071527,66.56113991,6.736593519,10.26660757,6.825420913
78.96771843,69.13071527,66.00201119,6.76552195,10.26660757,6.120408066
77.02308796,69.47871014,66.78421543,9.834877667,9.796499701,6.913946823
76.2374837,69.47871014,66.00201119,11.142805,9.796499701,6.120408066
75.43879792,69.47871014,65.61352252,12.45023439,9.796499701,5.695730552
75.2585586,70.1123656,63.67816649,12.7512026,8.981275431,4.575483745
76.19176304,69.45192871,66.11500932,11.21839487,9.752969431,8.594521693
76.12140723,70.08558417,65.34668159,11.12513108,8.936622701,6.971772877
76.12140723,70.08558417,65.46342362,11.12513108,8.936622701,6.002005517
76.12140723,70.08558417,65.97709595,11.12513108,8.936622701,6.106939059
76.12140723,69.10393384,66.91543405,11.12513108,10.22371156,9.5566735
76.12140723,70.08558417,66.29274833,11.12513108,8.936622701,8.5208032
76.1455031,69.10393384,66.29274833,11.15558605,10.22371156,8.5208032
76.12140723,70.1123656,65.39753064,11.12513108,8.981275431,8.993657102
76.1455031,69.42658709,64.76647733,11.15558605,9.711803763,9.466430341
76.12140723,69.07859222,68.18120463,11.12513108,10.18314987,9.244544691
76.12140723,69.07859222,68.18120463,11.12513108,10.18314987,9.244544691
76.12140723,69.1208679,68.18120463,11.12513108,10.17386839,9.244544691
76.17049142,69.1208679,68.18120463,11.18724587,10.17386839,9.244544691
76.17049142,68.6083387,68.18120463,11.18724587,9.399752456,9.244544691
76.17049142,68.41408772,68.18120463,11.18724587,9.095210767,9.244544691
76.1774508,68.72614269,68.18120463,11.17572453,9.585482052,9.244544691
76.362311,68.09068216,68.18120463,10.79690418,8.522832658,9.244544691
76.34705838,68.60398147,68.18120463,10.75154468,9.317436308,9.244544691
76.37115426,67.59927154,68.18120463,10.78229845,7.781286244,9.244544691
76.39614257,66.72385688,68.18120463,10.814269,6.552628563,9.244544691
76.34705838,66.62989871,68.18120463,10.75154468,5.437577927,9.244544691
76.34705838,68.30604204,68.18120463,10.75154468,7.920890692,9.244544691
76.34705838,69.73403832,68.70738575,10.75154468,8.352242226,9.265569817
76.34705838,70.1525417,68.18120463,10.75154468,9.048293833,9.244544691
76.34705838,70.1525417,68.18120463,10.75154468,9.048293833,9.244544691
76.34705838,70.1525417,66.61245217,10.75154468,9.048293833,6.978127066
76.34705838,69.51888623,65.04557945,10.75154468,9.861850369,5.168204794
76.34705838,70.1525417,65.04557945,10.75154468,9.048293833,5.168204794
76.34705838,70.1525417,65.04557945,10.75154468,9.048293833,5.168204794
76.34705838,70.1525417,65.04557945,10.75154468,9.048293833,5.168204794
76.34705838,70.1525417,65.57176057,10.75154468,9.048293833,5.661204699
76.34705838,70.1525417,66.61245217,10.75154468,9.048293833,6.978127066
76.34705838,70.1525417,66.61245217,10.75154468,9.048293833,6.978127066
76.34705838,70.1525417,66.61245217,10.75154468,9.048293833,6.978127066
76.34705838,70.1525417,67.55851891,10.75154468,9.048293833,8.312654035
76.34705838,70.1525417,67.1386333,10.75154468,9.048293833,7.180513814
76.34705838,70.1525417,67.55851891,10.75154468,9.048293833,8.312654035
76.34705838,69.73403832,68.18120463,10.75154468,8.352242226,9.244544691
76.34705838,68.91785632,68.18120463,10.75154468,7.011595362,9.244544691
76.34705838,69.71762748,68.18120463,10.75154468,8.32504806,9.244544691
76.34705838,68.91759783,68.18120463,10.75154468,7.011175328,9.244544691
76.34705838,68.91759783,68.18120463,10.75154468,7.011175328,9.244544691
76.34705838,69.09753918,68.18120463,10.75154468,7.304376157,9.244544691
76.34705838,69.71149423,68.18120463,10.75154468,8.314886853,9.244544691
76.34705838,69.09753918,68.70738575,10.75154468,7.304376157,9.265569817
76.34705838,69.71149423,68.70738575,10.75154468,8.314886853,9.265569817
76.34705838,69.71149423,69.28351928,10.75154468,8.314886853,9.39053507
76.34705838,70.11941196,69.28351928,10.75154468,8.993026765,9.39053507
76.34705838,70.11941196,69.28351928,10.75154468,8.993026765,9.39053507
76.34705838,70.31117639,69.28351928,10.75154468,9.31328305,9.39053507
76.34705838,70.31117639,68.70738575,10.75154468,9.31328305,9.265569817
76.34705838,70.11941196,68.70738575,10.75154468,8.993026765,9.265569817
76.34705838,70.11941196,69.28351928,10.75154468,8.993026765,9.39053507
76.34705838,70.11941196,69.28351928,10.75154468,8.993026765,9.39053507
76.34705838,70.11941196,69.28351928,10.75154468,8.993026765,9.39053507
76.34705838,70.11941196,68.70738575,10.75154468,8.993026765,9.265569817
76.34705838,70.11941196,68.70738575,10.75154468,8.993026765,9.265569817
76.34705838,70.11941196,68.70738575,10.75154468,8.993026765,9.265569817
76.34705838,70.12165264,68.70738575,10.75154468,8.996763835,9.265569817
76.34705838,70.11941196,68.70738575,10.75154468,8.993026765,9.265569817
76.34705838,70.12165264,68.70738575,10.75154468,8.996763835,9.265569817
74.81295104,65.53776364,57.58634204,9.522499227,8.932474776,4.195706102
73.44217724,66.05702647,58.34840087,10.77603423,7.905184735,9.481113253
72.9947055,65.63964958,56.0078639,12.49153517,9.271456727,10.92653672
71.56961564,66.88843622,55.835575,14.95131311,9.444051872,1.842207061
72.20849716,70.10537942,55.91872819,13.84565695,5.214553477,1.952917884
71.50403598,66.81270497,55.29023442,15.01290577,3.375198038,2.833573106
